x,y,I
-2,-2,8.0
-2,-1,38.7
-2,0,0.5
-2,1,38.8
-2,2,8.2
-1,-2,40.4
-1,-1,0.8
-1,0,19.4
-1,1,31.6
-1,2,38.2
0,-2,0.6
0,-1,19.6
0,0,388.1
0,1,20.8
0,2,0.7
1,-2,38.5
1,-1,29.5
1,0,19.3
1,1,0.8
1,2,40.7
2,-2,8.1
2,-1,38.8
2,0,0.6
2,1,38.5
2,2,8.8
