no,v
1,2.40
2,0.84
3,-1.40
4,-2.72
5,-2.34
6,-0.48
7,1.82
8,2.80
9,1.84
10,-0.30
11,-2.18
12,-2.22
13,-1.42
14,0.86
15,2.12
