no,v
1,2.56
2,-1.06
3,-3.6
4,-1.11
5,3.32
6,2.98
7,-1.34
8,-3.88
9,-1.05
10,2.86
11,2.84
12,-0.92
13,-3.48
14,-1.07
15,2.58
