no,v
1,7.36
2,6.62
3,4.24
4,1.00
5,-2.62
6,-5.84
7,-6.28
8,-7.68
9,-7.36
10,-5.52
11,-2.66
12,0.592
13,3.58
14,6.16
15,6.36
